"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1884751375177052553","Wed Jan 29 23:58:01 +0000 2025","0","Makan bergizi gratis tapi bikin keracunan 🙃","1884752891866665328","","ersseea","in","","0","0","0","https://x.com/ersseea/status/1884752891866665328","617716244","ersseea"
"1884752857234321490","Wed Jan 29 23:57:52 +0000 2025","1","puncak komedi, nangis banget gua. gimana kemiskinan struktural bisa pelan-pelan dibenahin kalo prioritasnya bukan pendidikan dan kesehatan tapi makan bergizi gratis yang sebenernya gizinya kurang. negara apaan sih ini!!!😭","1884752857234321490","","","in","","0","0","0","https://x.com/itsdreichday/status/1884752857234321490","1886044250","itsdreichday"
"1884752849504260516","Wed Jan 29 23:57:50 +0000 2025","6","Program Makan Bergizi Gratis (MBG) yang telah diluncurkan mendapat respons positif dari berbagai kalangan masyarakat. Program ini bertujuan menyediakan makanan bergizi gratis kepada anak-anak. #MBGuntukMasaDepan
Arsenal Man City Saka Barca Madrid https://t.co/Wzs0HGrHxu","1884752849504260516","https://pbs.twimg.com/media/Gif8uoPbsAAdAe3.jpg","","in","","1","1","5","https://x.com/night_sandi/status/1884752849504260516","2221352234","night_sandi"
"1884086676416520333","Wed Jan 29 23:56:50 +0000 2025","0","@BetaEpsilonPhi Klo penghematan utk kemaslahatan sih gpp, lah ini kementrian dia aja gemuk bgt, dah gt program mbg yg ampun dijeee","1884752596679917876","","BetaEpsilonPhi","in","","0","0","0","https://x.com/ManofBravo/status/1884752596679917876","4834697112","ManofBravo"
"1884608419102970076","Wed Jan 29 23:56:45 +0000 2025","1","@aldapstsr Pendidikan &amp; kesehatan kalah sama makan ""bergizi"" gratis :') https://t.co/DaESNZqb4g","1884752575318397310","https://pbs.twimg.com/media/Gif8edYaYAATB3_.jpg","aldapstsr","in","","0","1","0","https://x.com/rxblckrose/status/1884752575318397310","1176827076969525248","rxblckrose"
"1884086676416520333","Wed Jan 29 23:55:34 +0000 2025","0","@nowyoucatchme @BetaEpsilonPhi @PNS_Ababil Makan siang gratis dulu, bodohnya belakangan❤️","1884752275153051695","","nowyoucatchme","in","","0","0","0","https://x.com/hnfswn/status/1884752275153051695","136629614","hnfswn"
"1884751921787121870","Wed Jan 29 23:54:09 +0000 2025","0","Woooow cukup mengejutkan yaa, gue kira MBG itu tujuan jangka panjangnya nya utk peningkatan pendidikan &amp; kesehatan masyarakat loh, ternyata enggak ya? 😅 Kalo ngeliat prioritas utamanya, ini sebenarnya mau bangun sebuah negara yg berisi manusia atau mau bangun dinasti bisnis? 😁","1884751921787121870","","","in","","0","0","0","https://x.com/greythoughtwell/status/1884751921787121870","1674561639629357056","greythoughtwell"
"1884640487623278823","Wed Jan 29 23:53:42 +0000 2025","1","@S4N_W1B1 Itu artinya tingkat kemiskinan msh rendah, butuh bansos dan butuh MBG","1884751808398262631","","S4N_W1B1","in","","0","0","0","https://x.com/dtono88/status/1884751808398262631","196140054","dtono88"
"1884751227965370686","Wed Jan 29 23:51:24 +0000 2025","0","mbg udah di prioritas utama pun masih ga layak disebut 'makanan bergizi' chaos bgt ni negara","1884751227965370686","","","in","","0","0","0","https://x.com/pjwyjh/status/1884751227965370686","963932617698504704","pjwyjh"
"1884751025393078575","Wed Jan 29 23:50:36 +0000 2025","0","anjing anjing pendidikan ama kesehatan kalah sama makan bergizi gratis. BIG T A E","1884751025393078575","","","in","","0","0","0","https://x.com/unameundone/status/1884751025393078575","1159746575129694208","unameundone"
